size,time,wins,games_played,percent_wins
5,50,61,100,0.61
6,50,65,100,0.65
7,50,59,100,0.59
8,50,56,100,0.56
9,50,70,100,0.7
10,50,65,100,0.65
11,50,70,100,0.7
12,50,78,100,0.78
13,50,74,100,0.74
14,50,71,100,0.71

# C=root2
