size,time,wins,games_played,percent_wins
5,50,17,25,0.68
6,50,16,25,0.64
7,50,19,25,0.76
8,50,17,25,0.68
9,50,13,25,0.52
10,50,21,25,0.84
11,50,19,25,0.76
12,50,12,18,0.6666666666666666
13,50,20,25,0.8
14,50,21,25,0.84

# beta = 0.5, all same
