size,time,wins,games_played,percent_wins
5,50,58,100,0.58
6,50,55,100,0.55
7,50,63,100,0.63
8,50,67,100,0.67
9,50,68,100,0.68
10,50,73,100,0.73
11,50,62,98,0.6326530612244898
12,50,70,100,0.7
13,50,81,100,0.81

# C=1.5
