size,time,wins,games_played,percent_wins
5,50,12,25,0.48
6,50,19,25,0.76
7,50,15,25,0.6
8,50,21,25,0.84
9,50,19,25,0.76
10,50,19,25,0.76
11,50,15,25,0.6
12,50,17,25,0.68
13,50,19,25,0.76
14,50,23,25,0.92

# C = 1.5, all same
