size,time,wins,games_played,percent_wins
5,50,15,25,0.6
6,50,17,25,0.68
7,50,18,25,0.72
8,50,14,25,0.56
9,50,15,25,0.6
10,50,20,25,0.8
11,50,18,25,0.72
12,50,19,25,0.76
13,50,15,25,0.6
14,50,17,25,0.68

# beta = 0.6, all same
