size,time,wins,games_played,percent_wins
5,50,15,25,0.6
6,50,13,25,0.52
7,50,17,25,0.68
8,50,18,25,0.72
9,50,19,25,0.76
10,50,20,25,0.8
11,50,18,25,0.72
12,50,22,25,0.88
13,50,15,25,0.6
14,50,15,25,0.6

# small board decay = 0.94, all same
